k_ge,P_ge
2.465,20.24223318491009
2.475,20.17276374954711
2.4850000000000003,19.9043627224917
2.495,19.598059409490244
2.505,19.375898497099655
2.515,19.159886810753317
2.5250000000000004,19.246057100474257
2.535,18.5950177521619
2.545,18.414156368229268
2.555,18.348317975849795
2.565,18.17790770861937
2.575,18.013128600512346
2.585,17.897733232934907
2.5949999999999998,17.451719501280405
2.605,17.34449452634392
2.615,17.271201206375178
2.625,17.29064795760453
2.635,16.747514119101133
2.645,16.914415382857054
2.6550000000000002,16.742344124671153
2.665,16.16259315283688
2.675,16.178230466897187
2.685,15.670902170813541
